ID,Title,Slug,Date,Type,File / URL,Suggested,Decision,Notes
5931,Annual Report 2022,annual-report-2022-2,2022-03-13,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/AGM Annual Report 2022 v2.pdf,Keep (recent),,
5909,OUT IN LONDON - GLR LGBT+ Newsletter Feb 2022,out-in-london-glr-lgbt-newsletter-feb-2022-2,2022-02-08,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Out in London - GLR LGBT+ Newsletter Feb 2022.pdf,Keep (recent),,
5895,GL Regional Retired Members Committee - WINTER NEWSLETTER JANUARY 2022,gl-regional-retired-members-committee-winter-newsletter-january-2022-2,2022-01-24,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Jan 22 Newsletter electronic.pdf,Keep (recent),,
5882,agm 2022,agm-2022,2022-01-19,pdf,https://lasunison.co.uk/wp-content/uploads/2021/02/AGM-2022.pdf,Keep (form/reference),,
5858,COVID-19 vaccination status requirements in the workplace,covid-19-vaccination-status-requirements-in-the-workplace-2,2021-11-27,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/COVID-19-vaccination-status-requirements-in-the-workplace-v3i.pdf,Keep (recent),,
5851,Young Members Newsletter - November 2021,young-members-newsletter-november-2021-2,2021-11-08,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/GLR YM Newsletter Nov.pdf,Keep (recent),,
5790,Letter to CEO on Estates Strategy & Consolidation,letter-to-ceo-on-estates-strategy-consolidation-2,2021-09-11,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Consol.Estates DOC.pdf,Keep (recent),,
5766,26484-NHS-pay-your-say-A3-poster,26484-nhs-pay-your-say-a3-poster,2021-08-05,pdf,https://lasunison.co.uk/wp-content/uploads/2021/08/26484-NHS-pay-your-say-A3-poster.pdf,Keep (form/reference),,
5545,Green Environmental Ambulance Network - Green Passport,green-environmental-ambulance-network-green-passport-2,2021-02-28,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/GrEAN_passport_large.pdf,Keep (recent),,
5520,Retirement Grant,retirement-grant-2,2021-02-04,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Retirement expenses template1.pdf,Keep (form/reference),,
5423,Branch Meeting - December 2020,branch-meeting-december-2020-2,2021-01-22,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Branch Minutes Dec20.pdf,Keep (recent),,
5387,Your Health & Safety Rep is.........,your-health-safety-rep-is-2,2020-12-20,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Your H&amp;S rep is.pdf,Keep (recent),,
5385,Your Steward is.......,your-steward-is-2,2020-12-20,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Your steward is.pdf,Keep (recent),,
5339,Update Your Details - 2020 version,update-your-details-2020-version-2,2020-11-28,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/update your details - 2020.pdf,Keep (recent),,
5289,London SPF letter to Transport Secretary - 28 October 2020,london-spf-letter-to-transport-secretary-28-october-2020,2020-10-29,pdf,https://lasunison.co.uk/wp-content/uploads/2020/10/London-SPF-letter-to-Transport-Secretary-28-October-2020.pdf,Keep (recent),,
5007,Ambulance Charity Pin Badge,ambulance-charity-pin-badge-2,2020-06-12,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/TASC poster.pdf,Keep (recent),,
4990,Are you at risk? Health and Safety Poster,are-you-at-risk-health-and-safety-poster-2,2020-06-10,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/233521.pdf,Keep (form/reference),,
4939,How does LAS UNISON work for you?,how-does-las-unison-work-for-you-2,2020-05-26,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Poster 2 (3).pdf,Keep (recent),,
4920,Working Safely with Covid,working-safely-with-covid-2,2020-05-23,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/H&amp;S - Covid - 23 May 2020.pdf,Keep (recent),,
4904,Blueprint for Return - NHS Trade Unions,blueprint-for-return-nhs-trade-unions-2,2020-05-15,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Blueprint (1).pdf,Keep (recent),,
4891,LAS Bulletin on Annual Leave carry over due to Covid,las-bulletin-on-annual-leave-carry-over-due-to-covid-2,2020-05-10,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/People &amp; Culture Annual Leave guidance 08 May (002) (1).pdf,Keep (recent),,
4868,LAS UNISON - April 2020 Newsletter,las-unison-april-2020-newsletter-2,2020-04-30,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/April News (1).pdf,Keep (recent),,
4846,EMT Pay Journey Update,emt-pay-journey-update-2,2020-04-26,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/EMT full.pdf,Keep (recent),,
4828,Personal Protective Equipment - A guide for UNISON health branches,personal-protective-equipment-a-guide-for-unison-health-branches-2,2020-04-21,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/26076 (1).pdf,Keep (recent),,
4818,Working During Ramadan 2020,working-during-ramadan-2020-2,2020-04-19,pdf,https://lasunison.co.uk/wp-content/uploads/mdocs/Equalities - April 20.pdf,Keep (recent),,
